eval_loss = 6.556526377087548
eval_acc = 0.025796661608497723
========================
Example #1: Label: 0 ; Prediction: 3
Example #191: Label: 0 ; Prediction: 3
Example #192: Label: 0 ; Prediction: 0
Example #193: Label: 0 ; Prediction: 10
Example #194: Label: 0 ; Prediction: 11
Example #195: Label: 0 ; Prediction: 11
Example #196: Label: 0 ; Prediction: 3
Example #197: Label: 0 ; Prediction: 5
Example #198: Label: 0 ; Prediction: 11
Example #199: Label: 0 ; Prediction: 3
Example #200: Label: 0 ; Prediction: 14
Example #201: Label: 0 ; Prediction: 2
Example #202: Label: 0 ; Prediction: 14
Example #203: Label: 0 ; Prediction: 14
Example #204: Label: 0 ; Prediction: 12
Example #205: Label: 0 ; Prediction: 12
Example #206: Label: 0 ; Prediction: 3
Example #207: Label: 0 ; Prediction: 14
Example #208: Label: 0 ; Prediction: 3
Example #209: Label: 0 ; Prediction: 10
Example #210: Label: 0 ; Prediction: 10
Example #211: Label: 0 ; Prediction: 14
Example #212: Label: 0 ; Prediction: 14
Example #213: Label: 0 ; Prediction: 15
Example #214: Label: 0 ; Prediction: 12
Example #215: Label: 0 ; Prediction: 11
Example #216: Label: 0 ; Prediction: 3
Example #217: Label: 0 ; Prediction: 11
Example #218: Label: 0 ; Prediction: 14
Example #219: Label: 0 ; Prediction: 3
Example #220: Label: 0 ; Prediction: 10
Example #221: Label: 0 ; Prediction: 14
Example #222: Label: 0 ; Prediction: 15
Example #223: Label: 0 ; Prediction: 9
Example #224: Label: 0 ; Prediction: 3
Example #225: Label: 0 ; Prediction: 15
Example #226: Label: 0 ; Prediction: 8
Example #227: Label: 0 ; Prediction: 15
Example #228: Label: 0 ; Prediction: 1
Example #229: Label: 0 ; Prediction: 14
Example #230: Label: 0 ; Prediction: 12
Example #231: Label: 0 ; Prediction: 14
Example #232: Label: 0 ; Prediction: 7
Example #233: Label: 0 ; Prediction: 8
Example #234: Label: 0 ; Prediction: 13
Example #235: Label: 0 ; Prediction: 3
Example #236: Label: 0 ; Prediction: 8
Example #237: Label: 0 ; Prediction: 3
Example #238: Label: 0 ; Prediction: 11
Example #239: Label: 0 ; Prediction: 15
Example #240: Label: 0 ; Prediction: 11
Example #241: Label: 0 ; Prediction: 11
Example #242: Label: 0 ; Prediction: 10
Example #243: Label: 0 ; Prediction: 11
Example #244: Label: 0 ; Prediction: 14
Example #245: Label: 0 ; Prediction: 13
Example #246: Label: 0 ; Prediction: 3
Example #247: Label: 0 ; Prediction: 14
Example #248: Label: 0 ; Prediction: 8
Example #249: Label: 0 ; Prediction: 11
Example #250: Label: 0 ; Prediction: 3
Example #251: Label: 0 ; Prediction: 11
Example #252: Label: 0 ; Prediction: 10
Example #253: Label: 0 ; Prediction: 8
Example #254: Label: 0 ; Prediction: 15
Example #255: Label: 0 ; Prediction: 3
Example #256: Label: 0 ; Prediction: 3
Example #257: Label: 0 ; Prediction: 11
Example #258: Label: 0 ; Prediction: 15
Example #259: Label: 0 ; Prediction: 14
Example #260: Label: 0 ; Prediction: 11
Example #261: Label: 0 ; Prediction: 16
Example #262: Label: 0 ; Prediction: 11
Example #263: Label: 0 ; Prediction: 14
Example #264: Label: 0 ; Prediction: 15
Example #265: Label: 0 ; Prediction: 3
Example #266: Label: 0 ; Prediction: 15
Example #267: Label: 0 ; Prediction: 11
Example #268: Label: 0 ; Prediction: 15
Example #269: Label: 0 ; Prediction: 10
Example #270: Label: 0 ; Prediction: 14
Example #271: Label: 0 ; Prediction: 0
Example #272: Label: 0 ; Prediction: 3
Example #273: Label: 0 ; Prediction: 8
Example #274: Label: 0 ; Prediction: 14
Example #275: Label: 0 ; Prediction: 15
Example #276: Label: 0 ; Prediction: 11
Example #277: Label: 0 ; Prediction: 15
Example #278: Label: 0 ; Prediction: 13
Example #279: Label: 0 ; Prediction: 3
Example #280: Label: 0 ; Prediction: 3
Example #281: Label: 0 ; Prediction: 14
Example #282: Label: 0 ; Prediction: 15
Example #283: Label: 0 ; Prediction: 3
Example #284: Label: 0 ; Prediction: 10
Example #285: Label: 0 ; Prediction: 16
Example #286: Label: 0 ; Prediction: 7
Example #287: Label: 0 ; Prediction: 10
Example #288: Label: 0 ; Prediction: 3
Example #289: Label: 0 ; Prediction: 14
Example #290: Label: 0 ; Prediction: 3
Example #291: Label: 0 ; Prediction: 1
Example #292: Label: 0 ; Prediction: 15
Example #293: Label: 0 ; Prediction: 11
Example #294: Label: 0 ; Prediction: 11
Example #295: Label: 0 ; Prediction: 11
Example #296: Label: 0 ; Prediction: 11
Example #297: Label: 0 ; Prediction: 11
Example #298: Label: 0 ; Prediction: 14
Example #299: Label: 0 ; Prediction: 1
Example #300: Label: 0 ; Prediction: 0
Example #301: Label: 0 ; Prediction: 14
Example #302: Label: 0 ; Prediction: 3
Example #303: Label: 0 ; Prediction: 11
Example #304: Label: 0 ; Prediction: 14
Example #305: Label: 0 ; Prediction: 15
Example #306: Label: 0 ; Prediction: 3
Example #307: Label: 0 ; Prediction: 16
Example #308: Label: 0 ; Prediction: 14
Example #309: Label: 0 ; Prediction: 10
Example #310: Label: 0 ; Prediction: 11
Example #311: Label: 0 ; Prediction: 15
Example #312: Label: 0 ; Prediction: 11
Example #313: Label: 0 ; Prediction: 3
Example #314: Label: 0 ; Prediction: 14
Example #315: Label: 0 ; Prediction: 3
Example #316: Label: 0 ; Prediction: 10
Example #317: Label: 0 ; Prediction: 12
Example #318: Label: 0 ; Prediction: 3
Example #319: Label: 0 ; Prediction: 0
Example #320: Label: 0 ; Prediction: 14
Example #321: Label: 0 ; Prediction: 11
Example #322: Label: 0 ; Prediction: 3
Example #323: Label: 0 ; Prediction: 15
Example #324: Label: 0 ; Prediction: 11
Example #325: Label: 0 ; Prediction: 10
Example #326: Label: 0 ; Prediction: 3
Example #327: Label: 0 ; Prediction: 3
Example #328: Label: 0 ; Prediction: 12
Example #329: Label: 0 ; Prediction: 3
Example #330: Label: 0 ; Prediction: 9
Example #331: Label: 0 ; Prediction: 14
Example #332: Label: 0 ; Prediction: 3
Example #333: Label: 0 ; Prediction: 10
Example #334: Label: 0 ; Prediction: 15
Example #335: Label: 0 ; Prediction: 15
Example #336: Label: 0 ; Prediction: 3
Example #337: Label: 0 ; Prediction: 8
Example #338: Label: 0 ; Prediction: 14
Example #339: Label: 0 ; Prediction: 13
Example #340: Label: 0 ; Prediction: 10
Example #341: Label: 0 ; Prediction: 13
Example #342: Label: 0 ; Prediction: 14
Example #343: Label: 0 ; Prediction: 15
Example #344: Label: 0 ; Prediction: 0
Example #345: Label: 0 ; Prediction: 14
Example #346: Label: 0 ; Prediction: 10
Example #347: Label: 0 ; Prediction: 3
Example #348: Label: 0 ; Prediction: 10
Example #349: Label: 0 ; Prediction: 11
Example #350: Label: 0 ; Prediction: 15
Example #351: Label: 0 ; Prediction: 8
Example #352: Label: 0 ; Prediction: 11
Example #353: Label: 0 ; Prediction: 10
Example #354: Label: 0 ; Prediction: 10
Example #355: Label: 0 ; Prediction: 15
Example #356: Label: 0 ; Prediction: 14
Example #357: Label: 0 ; Prediction: 7
Example #358: Label: 0 ; Prediction: 10
Example #359: Label: 0 ; Prediction: 0
Example #360: Label: 0 ; Prediction: 0
Example #361: Label: 0 ; Prediction: 3
Example #362: Label: 0 ; Prediction: 3
Example #363: Label: 0 ; Prediction: 9
Example #364: Label: 0 ; Prediction: 3
Example #365: Label: 0 ; Prediction: 14
Example #366: Label: 0 ; Prediction: 15
Example #367: Label: 0 ; Prediction: 10
Example #368: Label: 0 ; Prediction: 3
Example #369: Label: 0 ; Prediction: 3
Example #370: Label: 0 ; Prediction: 11
Example #371: Label: 0 ; Prediction: 8
Example #372: Label: 0 ; Prediction: 8
Example #373: Label: 0 ; Prediction: 3
Example #374: Label: 0 ; Prediction: 14
Example #375: Label: 0 ; Prediction: 10
Example #376: Label: 0 ; Prediction: 0
Example #377: Label: 0 ; Prediction: 8
Example #378: Label: 0 ; Prediction: 1
Example #379: Label: 0 ; Prediction: 8
Example #380: Label: 0 ; Prediction: 14
Example #381: Label: 0 ; Prediction: 13
Example #382: Label: 0 ; Prediction: 1
Example #383: Label: 0 ; Prediction: 10
Example #384: Label: 0 ; Prediction: 10
Example #385: Label: 0 ; Prediction: 13
Example #386: Label: 0 ; Prediction: 10
Example #387: Label: 0 ; Prediction: 13
Example #388: Label: 0 ; Prediction: 3
Example #389: Label: 0 ; Prediction: 3
Example #390: Label: 0 ; Prediction: 9
Example #391: Label: 0 ; Prediction: 8
Example #392: Label: 0 ; Prediction: 11
Example #393: Label: 0 ; Prediction: 11
Example #394: Label: 0 ; Prediction: 8
Example #395: Label: 0 ; Prediction: 3
Example #396: Label: 0 ; Prediction: 10
Example #397: Label: 0 ; Prediction: 8
Example #398: Label: 0 ; Prediction: 14
Example #399: Label: 0 ; Prediction: 11
Example #400: Label: 0 ; Prediction: 14
Example #401: Label: 0 ; Prediction: 14
Example #402: Label: 0 ; Prediction: 3
Example #403: Label: 0 ; Prediction: 15
Example #404: Label: 0 ; Prediction: 9
Example #405: Label: 0 ; Prediction: 11
Example #406: Label: 0 ; Prediction: 11
Example #407: Label: 0 ; Prediction: 3
Example #408: Label: 0 ; Prediction: 3
Example #409: Label: 0 ; Prediction: 3
Example #410: Label: 0 ; Prediction: 11
Example #411: Label: 0 ; Prediction: 11
Example #412: Label: 0 ; Prediction: 11
Example #413: Label: 0 ; Prediction: 12
Example #414: Label: 0 ; Prediction: 8
Example #415: Label: 0 ; Prediction: 14
Example #416: Label: 0 ; Prediction: 11
Example #417: Label: 0 ; Prediction: 13
Example #418: Label: 0 ; Prediction: 3
Example #419: Label: 0 ; Prediction: 14
Example #420: Label: 0 ; Prediction: 3
Example #421: Label: 0 ; Prediction: 3
Example #422: Label: 0 ; Prediction: 8
Example #423: Label: 0 ; Prediction: 14
Example #424: Label: 0 ; Prediction: 15
Example #425: Label: 0 ; Prediction: 12
Example #426: Label: 0 ; Prediction: 3
Example #427: Label: 0 ; Prediction: 15
Example #428: Label: 0 ; Prediction: 13
Example #429: Label: 0 ; Prediction: 11
Example #430: Label: 0 ; Prediction: 3
Example #431: Label: 0 ; Prediction: 11
Example #432: Label: 0 ; Prediction: 11
Example #433: Label: 0 ; Prediction: 1
Example #434: Label: 0 ; Prediction: 14
Example #435: Label: 0 ; Prediction: 3
Example #436: Label: 0 ; Prediction: 15
Example #437: Label: 0 ; Prediction: 9
Example #438: Label: 0 ; Prediction: 10
Example #439: Label: 0 ; Prediction: 14
Example #440: Label: 0 ; Prediction: 3
Example #441: Label: 0 ; Prediction: 12
Example #442: Label: 0 ; Prediction: 13
Example #443: Label: 0 ; Prediction: 14
Example #444: Label: 0 ; Prediction: 11
Example #445: Label: 0 ; Prediction: 10
Example #446: Label: 0 ; Prediction: 8
Example #447: Label: 0 ; Prediction: 15
Example #448: Label: 0 ; Prediction: 3
Example #449: Label: 0 ; Prediction: 11
Example #450: Label: 0 ; Prediction: 9
Example #451: Label: 0 ; Prediction: 13
Example #452: Label: 0 ; Prediction: 10
Example #453: Label: 0 ; Prediction: 15
Example #454: Label: 0 ; Prediction: 11
Example #455: Label: 0 ; Prediction: 11
Example #456: Label: 0 ; Prediction: 3
Example #457: Label: 0 ; Prediction: 14
Example #458: Label: 0 ; Prediction: 11
Example #459: Label: 0 ; Prediction: 3
Example #460: Label: 0 ; Prediction: 15
Example #461: Label: 0 ; Prediction: 6
Example #462: Label: 0 ; Prediction: 1
Example #463: Label: 0 ; Prediction: 15
Example #464: Label: 0 ; Prediction: 11
Example #465: Label: 0 ; Prediction: 11
Example #466: Label: 0 ; Prediction: 10
Example #467: Label: 0 ; Prediction: 8
Example #468: Label: 0 ; Prediction: 8
Example #469: Label: 0 ; Prediction: 15
Example #470: Label: 0 ; Prediction: 14
Example #471: Label: 0 ; Prediction: 15
Example #472: Label: 0 ; Prediction: 8
Example #473: Label: 0 ; Prediction: 14
Example #474: Label: 0 ; Prediction: 15
Example #475: Label: 0 ; Prediction: 11
Example #476: Label: 0 ; Prediction: 10
Example #477: Label: 0 ; Prediction: 11
Example #478: Label: 0 ; Prediction: 3
Example #479: Label: 0 ; Prediction: 14
Example #480: Label: 0 ; Prediction: 15
Example #481: Label: 0 ; Prediction: 11
Example #482: Label: 0 ; Prediction: 15
Example #483: Label: 0 ; Prediction: 15
Example #484: Label: 0 ; Prediction: 11
Example #485: Label: 0 ; Prediction: 11
Example #486: Label: 0 ; Prediction: 15
Example #487: Label: 0 ; Prediction: 6
Example #488: Label: 0 ; Prediction: 15
Example #489: Label: 0 ; Prediction: 10
Example #490: Label: 0 ; Prediction: 3
Example #491: Label: 0 ; Prediction: 14
Example #492: Label: 0 ; Prediction: 3
Example #493: Label: 0 ; Prediction: 11
Example #494: Label: 0 ; Prediction: 11
Example #495: Label: 0 ; Prediction: 9
Example #496: Label: 0 ; Prediction: 12
Example #497: Label: 0 ; Prediction: 15
Example #498: Label: 0 ; Prediction: 14
Example #499: Label: 0 ; Prediction: 8
Example #500: Label: 0 ; Prediction: 15
Example #501: Label: 0 ; Prediction: 14
Example #502: Label: 0 ; Prediction: 8
Example #503: Label: 0 ; Prediction: 14
Example #504: Label: 0 ; Prediction: 13
Example #505: Label: 0 ; Prediction: 3
Example #506: Label: 0 ; Prediction: 11
Example #507: Label: 0 ; Prediction: 14
Example #508: Label: 0 ; Prediction: 14
Example #509: Label: 0 ; Prediction: 13
Example #510: Label: 0 ; Prediction: 6
Example #511: Label: 0 ; Prediction: 9
Example #512: Label: 0 ; Prediction: 14
Example #513: Label: 0 ; Prediction: 15
Example #514: Label: 0 ; Prediction: 11
Example #515: Label: 0 ; Prediction: 15
Example #516: Label: 0 ; Prediction: 9
Example #517: Label: 0 ; Prediction: 12
Example #518: Label: 0 ; Prediction: 14
Example #519: Label: 0 ; Prediction: 11
Example #520: Label: 0 ; Prediction: 10
Example #521: Label: 0 ; Prediction: 12
Example #522: Label: 0 ; Prediction: 8
Example #523: Label: 0 ; Prediction: 11
Example #524: Label: 0 ; Prediction: 11
Example #525: Label: 0 ; Prediction: 14
Example #526: Label: 0 ; Prediction: 8
Example #527: Label: 0 ; Prediction: 15
Example #528: Label: 0 ; Prediction: 11
Example #529: Label: 0 ; Prediction: 0
Example #530: Label: 0 ; Prediction: 10
Example #531: Label: 0 ; Prediction: 11
Example #532: Label: 0 ; Prediction: 11
Example #533: Label: 0 ; Prediction: 14
Example #534: Label: 0 ; Prediction: 15
Example #535: Label: 0 ; Prediction: 10
Example #536: Label: 0 ; Prediction: 14
Example #537: Label: 0 ; Prediction: 9
Example #538: Label: 0 ; Prediction: 13
Example #539: Label: 0 ; Prediction: 10
Example #540: Label: 0 ; Prediction: 10
Example #541: Label: 0 ; Prediction: 9
Example #542: Label: 0 ; Prediction: 8
Example #543: Label: 0 ; Prediction: 15
Example #544: Label: 0 ; Prediction: 3
Example #545: Label: 0 ; Prediction: 3
Example #546: Label: 0 ; Prediction: 6
Example #547: Label: 0 ; Prediction: 12
Example #548: Label: 0 ; Prediction: 11
Example #549: Label: 0 ; Prediction: 10
Example #550: Label: 0 ; Prediction: 11
Example #551: Label: 0 ; Prediction: 3
Example #552: Label: 0 ; Prediction: 11
Example #553: Label: 0 ; Prediction: 14
Example #554: Label: 0 ; Prediction: 0
Example #555: Label: 0 ; Prediction: 15
Example #556: Label: 0 ; Prediction: 10
Example #557: Label: 0 ; Prediction: 11
Example #558: Label: 0 ; Prediction: 14
Example #559: Label: 0 ; Prediction: 14
Example #560: Label: 0 ; Prediction: 10
Example #561: Label: 0 ; Prediction: 15
Example #562: Label: 0 ; Prediction: 3
Example #563: Label: 0 ; Prediction: 9
Example #564: Label: 0 ; Prediction: 10
Example #565: Label: 0 ; Prediction: 14
Example #566: Label: 0 ; Prediction: 3
Example #567: Label: 0 ; Prediction: 10
Example #568: Label: 0 ; Prediction: 14
Example #569: Label: 0 ; Prediction: 3
Example #570: Label: 0 ; Prediction: 14
Example #571: Label: 0 ; Prediction: 3
Example #572: Label: 0 ; Prediction: 14
Example #573: Label: 0 ; Prediction: 3
Example #574: Label: 0 ; Prediction: 3
Example #575: Label: 0 ; Prediction: 11
Example #576: Label: 0 ; Prediction: 8
Example #577: Label: 0 ; Prediction: 15
Example #578: Label: 0 ; Prediction: 9
Example #579: Label: 0 ; Prediction: 3
Example #580: Label: 0 ; Prediction: 11
Example #581: Label: 0 ; Prediction: 13
Example #582: Label: 0 ; Prediction: 11
Example #583: Label: 0 ; Prediction: 8
Example #584: Label: 0 ; Prediction: 3
Example #585: Label: 0 ; Prediction: 12
Example #586: Label: 0 ; Prediction: 8
Example #587: Label: 0 ; Prediction: 8
Example #588: Label: 0 ; Prediction: 11
Example #589: Label: 0 ; Prediction: 15
Example #590: Label: 0 ; Prediction: 3
Example #591: Label: 0 ; Prediction: 11
Example #592: Label: 0 ; Prediction: 11
Example #593: Label: 0 ; Prediction: 1
Example #594: Label: 0 ; Prediction: 3
Example #595: Label: 0 ; Prediction: 14
Example #596: Label: 0 ; Prediction: 14
Example #597: Label: 0 ; Prediction: 14
Example #598: Label: 0 ; Prediction: 11
Example #599: Label: 0 ; Prediction: 10
Example #600: Label: 0 ; Prediction: 8
Example #601: Label: 0 ; Prediction: 1
Example #602: Label: 0 ; Prediction: 10
Example #603: Label: 0 ; Prediction: 8
Example #604: Label: 0 ; Prediction: 11
Example #605: Label: 0 ; Prediction: 10
Example #606: Label: 0 ; Prediction: 8
Example #607: Label: 0 ; Prediction: 7
Example #608: Label: 0 ; Prediction: 3
Example #609: Label: 0 ; Prediction: 5
Example #610: Label: 0 ; Prediction: 3
Example #611: Label: 0 ; Prediction: 14
Example #612: Label: 0 ; Prediction: 10
Example #613: Label: 0 ; Prediction: 11
Example #614: Label: 0 ; Prediction: 13
Example #615: Label: 0 ; Prediction: 8
Example #616: Label: 0 ; Prediction: 11
Example #617: Label: 0 ; Prediction: 14
Example #618: Label: 0 ; Prediction: 14
Example #619: Label: 0 ; Prediction: 12
Example #620: Label: 0 ; Prediction: 3
Example #621: Label: 0 ; Prediction: 8
Example #622: Label: 0 ; Prediction: 8
Example #623: Label: 0 ; Prediction: 14
Example #624: Label: 0 ; Prediction: 3
Example #625: Label: 0 ; Prediction: 12
Example #626: Label: 0 ; Prediction: 11
Example #627: Label: 0 ; Prediction: 14
Example #628: Label: 0 ; Prediction: 1
Example #629: Label: 0 ; Prediction: 3
Example #630: Label: 0 ; Prediction: 3
Example #631: Label: 0 ; Prediction: 14
Example #632: Label: 0 ; Prediction: 14
Example #633: Label: 0 ; Prediction: 14
Example #634: Label: 0 ; Prediction: 8
Example #635: Label: 0 ; Prediction: 3
Example #636: Label: 0 ; Prediction: 3
Example #637: Label: 0 ; Prediction: 3
Example #638: Label: 0 ; Prediction: 10
Example #639: Label: 0 ; Prediction: 11
Example #640: Label: 0 ; Prediction: 3
Example #641: Label: 0 ; Prediction: 15
Example #642: Label: 0 ; Prediction: 11
Example #643: Label: 0 ; Prediction: 11
Example #644: Label: 0 ; Prediction: 0
Example #645: Label: 0 ; Prediction: 0
Example #646: Label: 0 ; Prediction: 14
Example #647: Label: 0 ; Prediction: 14
Example #648: Label: 0 ; Prediction: 14
Example #649: Label: 0 ; Prediction: 0
Example #650: Label: 0 ; Prediction: 3
Example #651: Label: 0 ; Prediction: 15
Example #652: Label: 0 ; Prediction: 11
Example #653: Label: 0 ; Prediction: 3
Example #654: Label: 0 ; Prediction: 11
Example #655: Label: 0 ; Prediction: 2
Example #656: Label: 0 ; Prediction: 3
Example #657: Label: 0 ; Prediction: 8
Example #658: Label: 0 ; Prediction: 14
Example #659: Label: 0 ; Prediction: 3
